distance,time_of_day,weather,traffic_level,travel_time
13.2,afternoon,clear,high,29.7
12.25,morning,clear,high,27.56
3.61,night,fog,medium,7.04
13.5,afternoon,clear,low,16.2
8.55,afternoon,clear,low,10.26
12.3,evening,clear,high,27.67
13.55,night,rain,high,36.58
5.45,night,clear,low,6.54
2.54,evening,fog,high,7.43
4.19,evening,clear,low,5.03
6.98,morning,clear,medium,10.47
12.45,morning,rain,medium,22.41
13.05,afternoon,clear,medium,19.58
1.1,afternoon,fog,medium,2.15
8.15,afternoon,clear,medium,12.23
6.84,afternoon,fog,medium,13.34
4.11,morning,rain,low,5.92
2.68,night,clear,high,6.03
5.73,afternoon,rain,low,8.25
14.2,night,clear,medium,21.3
5.52,afternoon,fog,high,16.15
8.26,evening,rain,high,22.3
10.84,afternoon,clear,medium,16.26
6.09,afternoon,fog,medium,11.88
14.6,afternoon,rain,medium,26.28
14.47,morning,clear,medium,21.7
4.52,evening,rain,medium,8.14
7.96,afternoon,clear,medium,11.94
5.21,afternoon,fog,high,15.24
4.99,night,fog,medium,9.73
1.52,evening,rain,medium,2.74
9.53,afternoon,rain,high,25.73
8.04,night,clear,low,9.65
1.72,night,fog,medium,3.35
4.9,morning,clear,high,11.02
13.72,night,fog,high,40.13
4.35,afternoon,rain,low,6.26
3.03,morning,clear,medium,4.54
7.85,morning,clear,medium,11.77
14.8,afternoon,fog,medium,28.86
4.39,evening,fog,high,12.84
10.41,night,fog,medium,20.3
11.66,morning,rain,medium,20.99
4.33,evening,clear,medium,6.5
11.2,afternoon,fog,medium,21.84
6.15,night,rain,low,8.86
9.85,night,fog,low,15.37
9.87,morning,clear,low,11.84
8.5,night,fog,medium,16.58
2.26,night,clear,medium,3.39
12.69,night,rain,high,34.26
5.49,night,rain,high,14.82
3.61,afternoon,fog,high,10.56
1.57,evening,clear,medium,2.36
9.27,afternoon,clear,low,11.12
10.49,afternoon,clear,low,12.59
1.23,morning,fog,low,1.92
8.17,night,clear,medium,12.26
4.17,afternoon,clear,low,5.0
10.03,night,clear,high,22.57
3.44,afternoon,clear,high,7.74
10.67,afternoon,fog,low,16.65
6.41,morning,fog,high,18.75
14.11,evening,clear,low,16.93
2.93,evening,clear,low,3.52
5.77,afternoon,rain,high,15.58
2.59,morning,rain,high,6.99
13.95,night,clear,high,31.39
13.28,night,clear,high,29.88
4.61,afternoon,rain,low,6.64
10.24,evening,rain,high,27.65
12.44,morning,clear,high,27.99
8.77,evening,fog,medium,17.1
8.42,night,fog,high,24.63
4.39,evening,clear,high,9.88
2.3,night,clear,low,2.76
13.56,morning,rain,low,19.53
13.61,morning,rain,medium,24.5
9.86,afternoon,fog,high,28.84
5.75,afternoon,clear,high,12.94
5.89,evening,rain,high,15.9
11.16,morning,fog,high,32.64
13.56,morning,fog,high,39.66
13.42,afternoon,fog,high,39.25
11.92,night,rain,medium,21.46
9.99,evening,rain,high,26.97
2.18,evening,clear,high,4.91
3.26,afternoon,clear,high,7.33
13.58,morning,fog,medium,26.48
9.49,afternoon,fog,high,27.76
1.13,afternoon,rain,medium,2.03
2.42,afternoon,rain,low,3.48
10.29,afternoon,clear,high,23.15
1.07,night,clear,medium,1.61
3.25,night,clear,low,3.9
8.68,morning,rain,medium,15.62
10.69,afternoon,fog,medium,20.85
10.13,night,clear,low,12.16
4.14,morning,clear,high,9.32
10.97,afternoon,rain,high,29.62
4.32,evening,clear,medium,6.48
5.56,night,fog,low,8.67
11.45,morning,rain,high,30.92
10.09,evening,clear,medium,15.13
12.89,afternoon,clear,low,15.47
10.21,afternoon,rain,medium,18.38
8.96,afternoon,rain,low,12.9
2.31,night,clear,high,5.2
6.15,morning,fog,high,17.99
4.71,evening,rain,medium,8.48
4.42,morning,fog,high,12.93
14.62,night,clear,high,32.89
6.5,morning,fog,low,10.14
13.49,night,clear,high,30.35
9.84,afternoon,clear,low,11.81
12.13,evening,clear,low,14.56
8.04,afternoon,clear,medium,12.06
9.08,morning,fog,low,14.16
7.9,afternoon,clear,high,17.78
3.73,evening,clear,low,4.48
11.11,afternoon,fog,low,17.33
4.93,evening,rain,medium,8.87
1.34,evening,fog,high,3.92
10.04,afternoon,fog,high,29.37
3.48,night,fog,high,10.18
14.17,morning,clear,low,17.0
14.36,night,clear,high,32.31
13.81,night,clear,high,31.07
6.18,afternoon,rain,low,8.9
1.22,morning,clear,medium,1.83
14.0,morning,rain,medium,25.2
6.99,night,clear,low,8.39
14.53,afternoon,fog,medium,28.33
14.49,morning,clear,medium,21.74
12.94,night,rain,medium,23.29
5.12,morning,rain,high,13.82
6.39,afternoon,clear,medium,9.59
12.92,afternoon,fog,high,37.79
5.44,afternoon,clear,medium,8.16
3.37,morning,clear,high,7.58
8.8,evening,clear,low,10.56
14.11,morning,fog,low,22.01
10.74,evening,rain,medium,19.33
8.98,afternoon,fog,high,26.27
2.36,night,rain,low,3.4
9.61,evening,rain,low,13.84
14.86,afternoon,rain,low,21.4
2.96,afternoon,fog,low,4.62
8.26,evening,clear,medium,12.39
13.28,night,clear,high,29.88
11.37,afternoon,clear,low,13.64
10.76,evening,clear,medium,16.14
10.83,night,clear,low,13.0
6.03,night,fog,low,9.41
5.11,afternoon,fog,low,7.97
12.33,morning,fog,low,19.23
12.34,morning,fog,medium,24.06
13.14,afternoon,fog,high,38.43
13.79,night,fog,medium,26.89
8.16,afternoon,fog,medium,15.91
8.02,evening,clear,medium,12.03
12.18,morning,rain,low,17.54
10.1,evening,fog,high,29.54
10.83,afternoon,rain,low,15.6
12.14,afternoon,fog,medium,23.67
13.46,night,fog,low,21.0
5.73,night,clear,high,12.89
6.26,night,rain,high,16.9
2.32,evening,clear,low,2.78
9.1,night,clear,medium,13.65
1.5,afternoon,rain,low,2.16
7.52,night,clear,medium,11.28
8.6,morning,fog,high,25.16
5.01,night,fog,low,7.82
9.27,evening,fog,high,27.11
1.43,morning,fog,medium,2.79
1.52,morning,fog,medium,2.96
12.52,morning,clear,low,15.02
6.04,evening,clear,low,7.25
2.78,afternoon,fog,low,4.34
8.31,night,fog,high,24.31
11.78,morning,clear,medium,17.67
4.02,morning,rain,medium,7.24
9.72,morning,clear,high,21.87
2.19,afternoon,clear,low,2.63
1.72,afternoon,clear,low,2.06
8.44,evening,clear,high,18.99
8.57,afternoon,clear,medium,12.86
9.92,night,rain,medium,17.86
11.17,evening,fog,medium,21.78
14.66,evening,fog,medium,28.59
8.23,night,rain,high,22.22
5.52,night,fog,medium,10.76
12.13,night,fog,high,35.48
4.79,evening,fog,low,7.47
7.15,evening,rain,high,19.31
2.1,evening,rain,medium,3.78
1.35,night,fog,low,2.11
14.48,night,fog,high,42.35
12.7,morning,fog,high,37.15
10.74,afternoon,clear,high,24.16
6.73,morning,clear,low,8.08
3.43,night,clear,high,7.72
3.19,evening,rain,medium,5.74
4.5,night,fog,low,7.02
8.69,afternoon,rain,low,12.51
11.0,morning,rain,high,29.7
10.24,morning,rain,medium,18.43
4.92,evening,fog,low,7.68
14.37,morning,clear,high,32.33
11.33,morning,fog,medium,22.09
8.76,night,fog,high,25.62
9.56,morning,rain,high,25.81
6.87,morning,rain,low,9.89
4.47,morning,rain,low,6.44
5.98,evening,clear,high,13.46
11.61,evening,clear,low,13.93
1.2,night,clear,low,1.44
2.63,morning,fog,medium,5.13
1.64,evening,rain,medium,2.95
1.57,evening,fog,high,4.59
12.98,night,clear,high,29.2
10.85,afternoon,rain,high,29.29
7.64,morning,clear,high,17.19
2.37,evening,rain,medium,4.27
7.88,night,rain,low,11.35
7.63,night,fog,medium,14.88
3.42,night,fog,high,10.0
7.07,evening,clear,high,15.91
6.58,morning,fog,medium,12.83
9.62,afternoon,fog,medium,18.76
9.89,morning,fog,high,28.93
1.63,night,rain,low,2.35
6.24,night,fog,high,18.25
9.76,afternoon,clear,medium,14.64
8.04,morning,rain,high,21.71
12.99,night,rain,high,35.07
10.22,night,fog,low,15.94
3.28,morning,rain,high,8.86
1.99,night,clear,high,4.48
9.99,morning,clear,high,22.48
1.37,night,rain,medium,2.47
9.2,morning,fog,medium,17.94
14.16,afternoon,fog,low,22.09
9.06,night,rain,high,24.46
6.43,afternoon,clear,medium,9.64
10.01,night,rain,low,14.41
7.42,night,fog,high,21.7
8.64,evening,fog,low,13.48
14.18,morning,rain,low,20.42
6.41,afternoon,clear,low,7.69
14.46,afternoon,rain,low,20.82
13.67,afternoon,clear,low,16.4
3.74,morning,clear,low,4.49
1.97,evening,rain,low,2.84
2.41,afternoon,rain,high,6.51
1.26,morning,clear,high,2.84
2.32,night,clear,low,2.78
10.56,afternoon,clear,high,23.76
2.0,afternoon,clear,low,2.4
5.47,evening,fog,high,16.0
12.83,afternoon,rain,medium,23.09
1.33,afternoon,clear,low,1.6
12.4,night,rain,medium,22.32
4.95,morning,clear,low,5.94
2.65,morning,rain,low,3.82
10.75,evening,rain,medium,19.35
9.81,night,clear,medium,14.72
13.28,morning,clear,medium,19.92
11.29,night,rain,low,16.26
12.25,morning,rain,medium,22.05
4.95,night,rain,medium,8.91
3.48,evening,fog,high,10.18
11.51,afternoon,clear,high,25.9
12.3,evening,fog,medium,23.98
14.87,morning,fog,medium,29.0
6.78,evening,clear,medium,10.17
6.21,afternoon,clear,medium,9.32
11.87,evening,fog,high,34.72
5.77,morning,clear,low,6.92
14.03,morning,rain,medium,25.25
13.02,evening,rain,medium,23.44
7.01,afternoon,fog,high,20.5
11.51,evening,fog,medium,22.44
11.56,afternoon,clear,medium,17.34
2.44,night,clear,high,5.49
13.64,afternoon,fog,medium,26.6
8.07,night,fog,medium,15.74
12.57,evening,rain,high,33.94
5.48,afternoon,rain,low,7.89
13.54,night,clear,medium,20.31
6.45,night,rain,medium,11.61
1.15,night,clear,low,1.38
13.68,morning,clear,high,30.78
2.28,evening,clear,low,2.74
5.47,night,rain,medium,9.85
14.3,afternoon,fog,low,22.31
14.31,night,fog,high,41.86
9.03,morning,rain,medium,16.25
9.85,evening,fog,high,28.81
7.28,morning,clear,high,16.38
5.1,morning,fog,low,7.96
5.6,morning,rain,low,8.06
10.42,afternoon,fog,high,30.48
11.53,evening,clear,high,25.94
12.08,evening,clear,medium,18.12
12.05,afternoon,rain,high,32.54
2.28,evening,rain,high,6.16
7.92,morning,rain,low,11.4
1.81,evening,clear,high,4.07
8.69,afternoon,fog,high,25.42
7.18,morning,fog,low,11.2
13.43,afternoon,rain,medium,24.17
5.91,night,fog,low,9.22
2.64,morning,fog,low,4.12
3.0,morning,rain,high,8.1
11.66,evening,rain,high,31.48
9.66,morning,clear,medium,14.49
2.42,afternoon,clear,high,5.44
2.18,evening,clear,medium,3.27
10.81,night,clear,medium,16.22
2.02,afternoon,fog,medium,3.94
12.51,night,fog,medium,24.39
10.89,night,clear,high,24.5
2.14,night,clear,low,2.57
2.19,morning,rain,low,3.15
14.81,afternoon,fog,high,43.32
6.24,afternoon,fog,high,18.25
6.19,morning,clear,medium,9.28
12.38,evening,fog,high,36.21
14.26,night,rain,low,20.53
14.8,afternoon,rain,high,39.96
11.55,morning,fog,high,33.78
6.27,night,clear,medium,9.4
2.17,evening,fog,medium,4.23
11.88,evening,rain,medium,21.38
8.82,night,clear,medium,13.23
6.94,evening,fog,low,10.83
13.69,afternoon,clear,high,30.8
2.56,afternoon,clear,high,5.76
7.9,afternoon,rain,medium,14.22
1.16,evening,clear,low,1.39
7.56,afternoon,fog,low,11.79
1.79,morning,clear,high,4.03
2.66,afternoon,clear,medium,3.99
2.65,afternoon,fog,high,7.75
10.09,evening,rain,high,27.24
11.44,afternoon,rain,low,16.47
9.17,night,fog,low,14.31
14.47,morning,fog,high,42.32
6.25,evening,rain,medium,11.25
5.0,morning,clear,medium,7.5
13.16,night,fog,high,38.49
4.13,evening,clear,high,9.29
14.49,evening,fog,medium,28.26
1.17,afternoon,rain,medium,2.11
14.58,morning,clear,medium,21.87
1.6,night,clear,high,3.6
13.48,night,fog,low,21.03
8.39,evening,clear,medium,12.58
14.9,afternoon,fog,medium,29.06
2.03,evening,rain,medium,3.65
8.75,evening,clear,high,19.69
14.57,evening,fog,low,22.73
8.32,evening,clear,low,9.98
9.81,night,fog,medium,19.13
10.74,night,fog,high,31.41
7.36,evening,fog,low,11.48
9.79,evening,rain,high,26.43
9.18,afternoon,clear,low,11.02
13.62,evening,rain,medium,24.52
1.64,night,fog,high,4.8
4.93,morning,fog,medium,9.61
14.31,night,rain,low,20.61
13.46,afternoon,rain,low,19.38
7.38,night,clear,medium,11.07
9.68,morning,fog,low,15.1
4.88,evening,rain,medium,8.78
3.63,morning,fog,medium,7.08
7.49,evening,fog,medium,14.61
5.95,evening,clear,low,7.14
9.17,night,clear,high,20.63
2.09,night,clear,medium,3.14
14.64,night,rain,high,39.53
14.81,afternoon,fog,low,23.1
10.77,night,rain,low,15.51
8.51,afternoon,rain,high,22.98
5.33,night,clear,medium,8.0
12.39,evening,fog,low,19.33
10.59,afternoon,fog,medium,20.65
3.28,morning,clear,medium,4.92
13.75,afternoon,fog,high,40.22
12.52,afternoon,clear,low,15.02
14.3,morning,rain,high,38.61
11.16,afternoon,rain,low,16.07
9.59,evening,clear,high,21.58
6.86,night,rain,low,9.88
14.06,morning,rain,low,20.25
13.12,night,clear,low,15.74
1.63,evening,rain,medium,2.93
1.37,morning,fog,medium,2.67
6.27,night,rain,high,16.93
12.35,night,clear,high,27.79
14.82,evening,fog,low,23.12
3.11,night,fog,low,4.85
9.32,evening,rain,medium,16.78
6.33,afternoon,fog,medium,12.34
14.58,evening,clear,medium,21.87
12.79,afternoon,fog,high,37.41
12.74,morning,rain,medium,22.93
7.56,night,rain,high,20.41
6.81,evening,fog,medium,13.28
4.83,evening,clear,medium,7.24
1.79,night,clear,low,2.15
13.11,night,rain,high,35.4
12.38,morning,rain,medium,22.28
15.0,morning,clear,low,18.0
14.95,evening,fog,high,43.73
8.78,morning,fog,high,25.68
11.77,afternoon,fog,medium,22.95
14.23,morning,fog,high,41.62
12.9,morning,clear,low,15.48
4.46,evening,rain,low,6.42
7.31,afternoon,rain,high,19.74
2.81,morning,fog,low,4.38
14.36,afternoon,clear,high,32.31
9.49,afternoon,clear,low,11.39
4.2,afternoon,fog,high,12.29
10.4,night,fog,high,30.42
9.65,night,fog,high,28.23
6.01,night,rain,low,8.65
2.59,night,fog,high,7.58
10.4,evening,rain,high,28.08
8.28,morning,clear,medium,12.42
11.81,night,clear,medium,17.72
8.28,evening,rain,high,22.36
12.93,morning,rain,medium,23.27
8.73,night,rain,high,23.57
8.85,morning,rain,medium,15.93
13.27,night,fog,low,20.7
6.65,evening,clear,low,7.98
2.88,afternoon,fog,high,8.42
1.4,afternoon,rain,high,3.78
11.57,morning,fog,low,18.05
9.68,evening,fog,low,15.1
10.86,afternoon,clear,medium,16.29
3.98,night,fog,high,11.64
2.91,afternoon,clear,low,3.49
1.2,morning,rain,low,1.73
5.91,morning,fog,high,17.29
9.26,evening,rain,medium,16.67
6.49,morning,clear,medium,9.74
7.12,afternoon,rain,medium,12.82
13.66,afternoon,rain,medium,24.59
5.88,afternoon,clear,low,7.06
8.2,afternoon,rain,high,22.14
11.97,evening,rain,high,32.32
6.55,night,rain,low,9.43
9.71,night,fog,low,15.15
13.07,evening,rain,low,18.82
14.29,morning,clear,high,32.15
3.06,night,fog,high,8.95
13.97,morning,fog,high,40.86
7.89,night,clear,medium,11.84
4.62,morning,rain,low,6.65
7.43,evening,fog,low,11.59
14.72,afternoon,fog,low,22.96
7.9,morning,fog,high,23.11
5.6,afternoon,rain,low,8.06
9.87,morning,fog,low,15.4
4.36,morning,clear,medium,6.54
2.06,morning,rain,high,5.56
2.8,morning,clear,low,3.36
2.79,morning,clear,high,6.28
3.13,afternoon,fog,high,9.16
2.94,morning,fog,high,8.6
9.97,afternoon,fog,medium,19.44
3.55,evening,clear,high,7.99
5.84,night,rain,high,15.77
13.56,morning,fog,high,39.66
7.64,night,fog,low,11.92
10.35,afternoon,clear,medium,15.52
3.41,evening,rain,low,4.91
3.69,evening,clear,medium,5.54
1.57,evening,fog,medium,3.06
3.37,night,clear,high,7.58
4.9,afternoon,fog,high,14.33
3.48,morning,rain,low,5.01
2.24,morning,clear,medium,3.36
2.69,afternoon,fog,high,7.87
7.45,night,fog,high,21.79
3.89,morning,fog,high,11.38
6.1,afternoon,fog,high,17.84
8.05,morning,clear,low,9.66
10.67,evening,fog,low,16.65
1.55,morning,clear,high,3.49
12.19,night,fog,high,35.66
9.79,afternoon,clear,high,22.03
2.14,night,clear,high,4.82
13.23,afternoon,fog,high,38.7
13.89,evening,fog,medium,27.09
1.86,afternoon,fog,medium,3.63
4.88,morning,fog,medium,9.52
12.29,morning,rain,medium,22.12
11.48,evening,fog,high,33.58
3.58,afternoon,fog,medium,6.98
3.93,evening,fog,medium,7.66
6.19,morning,clear,low,7.43
7.78,night,fog,medium,15.17
9.66,evening,clear,medium,14.49
6.16,night,clear,high,13.86
7.48,night,clear,medium,11.22
11.46,afternoon,clear,medium,17.19
1.51,evening,rain,high,4.08
4.53,night,fog,medium,8.83
10.99,night,clear,high,24.73
13.53,afternoon,fog,medium,26.38
8.16,afternoon,clear,low,9.79
8.45,morning,rain,low,12.17
2.5,night,clear,medium,3.75
7.26,morning,fog,low,11.33
8.46,night,fog,high,24.75
4.39,morning,rain,medium,7.9
4.77,afternoon,fog,high,13.95
6.28,evening,fog,low,9.8
1.28,afternoon,clear,high,2.88
5.51,morning,fog,low,8.6
3.96,morning,clear,low,4.75
5.58,evening,rain,low,8.04
2.68,night,fog,high,7.84
13.47,morning,clear,low,16.16
9.31,morning,fog,medium,18.15
10.51,morning,clear,low,12.61
12.05,evening,rain,medium,21.69
7.98,afternoon,clear,medium,11.97
2.22,morning,fog,medium,4.33
8.52,evening,clear,medium,12.78
9.22,morning,fog,high,26.97
11.44,night,rain,medium,20.59
7.04,evening,clear,low,8.45
2.79,morning,fog,medium,5.44
4.97,evening,fog,low,7.75
6.08,morning,fog,high,17.78
10.04,afternoon,clear,medium,15.06
8.99,morning,clear,low,10.79
5.99,evening,clear,high,13.48
14.81,night,rain,high,39.99
9.48,night,fog,low,14.79
4.32,night,fog,medium,8.42
2.42,morning,rain,high,6.53
3.14,afternoon,rain,low,4.52
4.44,morning,clear,medium,6.66
3.25,night,clear,high,7.31
3.61,evening,clear,low,4.33
4.99,night,clear,high,11.23
3.43,evening,clear,high,7.72
13.55,afternoon,clear,low,16.26
2.12,evening,rain,high,5.72
8.34,morning,rain,low,12.01
6.75,morning,rain,medium,12.15
14.75,morning,fog,low,23.01
2.57,evening,fog,medium,5.01
6.57,morning,clear,high,14.78
14.57,morning,rain,low,20.98
13.12,morning,fog,low,20.47
12.44,afternoon,fog,low,19.41
4.61,evening,rain,low,6.64
3.39,evening,fog,medium,6.61
10.36,night,fog,medium,20.2
14.01,evening,rain,high,37.83
8.79,afternoon,fog,high,25.71
9.0,evening,rain,high,24.3
4.92,afternoon,fog,high,14.39
11.77,afternoon,rain,low,16.95
3.62,evening,fog,medium,7.06
5.53,night,fog,medium,10.78
6.96,morning,rain,medium,12.53
8.11,morning,fog,medium,15.81
4.39,evening,rain,high,11.85
2.61,evening,rain,low,3.76
9.55,afternoon,fog,medium,18.62
5.04,evening,clear,low,6.05
9.14,afternoon,fog,low,14.26
3.16,night,clear,low,3.79
7.74,evening,clear,low,9.29
8.46,morning,fog,medium,16.5
1.73,morning,clear,medium,2.6
5.71,evening,rain,medium,10.28
2.88,afternoon,rain,high,7.78
1.89,morning,clear,medium,2.84
14.86,afternoon,rain,high,40.12
5.51,evening,fog,high,16.12
12.34,evening,rain,high,33.32
4.56,morning,clear,medium,6.84
10.54,evening,fog,medium,20.55
11.64,night,rain,medium,20.95
9.34,night,fog,high,27.32
7.6,morning,clear,high,17.1
6.77,night,rain,low,9.75
5.88,afternoon,fog,high,17.2
14.01,morning,fog,high,40.98
12.63,morning,rain,medium,22.73
14.51,afternoon,fog,low,22.64
2.74,night,fog,low,4.27
11.23,night,clear,low,13.48
14.14,night,clear,medium,21.21
3.54,morning,clear,low,4.25
1.93,morning,clear,low,2.32
11.38,night,clear,medium,17.07
9.04,evening,clear,low,10.85
12.79,night,rain,high,34.53
2.96,afternoon,clear,high,6.66
12.13,morning,fog,high,35.48
3.82,afternoon,rain,high,10.31
3.29,afternoon,fog,high,9.62
3.3,morning,clear,high,7.42
12.4,evening,clear,high,27.9
10.31,night,fog,high,30.16
8.32,afternoon,fog,high,24.34
6.02,morning,fog,medium,11.74
13.28,afternoon,rain,medium,23.9
6.49,night,clear,high,14.6
12.43,evening,fog,medium,24.24
7.15,evening,clear,medium,10.73
6.28,evening,fog,high,18.37
7.48,morning,clear,high,16.83
5.22,morning,rain,medium,9.4
11.47,evening,clear,high,25.81
8.04,night,fog,high,23.52
4.25,night,clear,high,9.56
13.59,morning,rain,high,36.69
6.37,evening,rain,medium,11.47
8.61,night,clear,low,10.33
13.69,night,fog,medium,26.7
9.74,night,rain,low,14.03
2.64,morning,rain,low,3.8
14.16,evening,clear,low,16.99
9.79,afternoon,rain,medium,17.62
5.69,evening,rain,medium,10.24
2.95,evening,fog,medium,5.75
12.12,morning,fog,medium,23.63
9.68,night,fog,medium,18.88
8.47,night,clear,low,10.16
13.51,morning,rain,medium,24.32
12.04,morning,clear,low,14.45
3.12,morning,rain,medium,5.62
5.36,morning,rain,medium,9.65
4.48,morning,rain,high,12.1
11.42,afternoon,fog,low,17.82
1.47,evening,clear,medium,2.2
8.98,evening,clear,medium,13.47
11.67,evening,rain,medium,21.01
13.27,night,clear,high,29.86
5.79,afternoon,fog,low,9.03
12.5,evening,clear,medium,18.75
2.55,night,rain,medium,4.59
12.85,afternoon,fog,medium,25.06
2.78,afternoon,fog,high,8.13
6.56,night,rain,medium,11.81
12.16,afternoon,clear,low,14.59
3.1,night,rain,low,4.46
4.21,evening,clear,low,5.05
11.11,night,clear,low,13.33
11.08,afternoon,fog,medium,21.61
9.98,evening,rain,high,26.95
10.72,evening,fog,high,31.36
8.6,morning,rain,high,23.22
4.53,morning,rain,medium,8.15
5.84,afternoon,fog,high,17.08
3.54,night,rain,low,5.1
13.72,night,rain,medium,24.7
9.17,afternoon,clear,high,20.63
6.61,evening,rain,low,9.52
7.47,afternoon,rain,low,10.76
14.26,afternoon,fog,medium,27.81
3.15,evening,fog,medium,6.14
9.21,night,rain,high,24.87
8.08,afternoon,clear,high,18.18
9.56,night,clear,high,21.51
1.25,afternoon,fog,medium,2.44
13.21,evening,rain,high,35.67
14.05,evening,rain,high,37.93
8.91,morning,clear,low,10.69
10.75,evening,clear,low,12.9
13.91,morning,clear,low,16.69
10.9,afternoon,fog,high,31.88
3.14,night,rain,medium,5.65
9.07,evening,fog,low,14.15
9.49,evening,rain,medium,17.08
6.94,evening,fog,high,20.3
11.31,afternoon,rain,high,30.54
14.08,morning,clear,low,16.9
13.96,afternoon,clear,medium,20.94
7.31,night,clear,low,8.77
2.59,afternoon,fog,high,7.58
14.79,night,clear,medium,22.18
12.74,evening,rain,low,18.35
2.75,night,fog,high,8.04
13.89,night,rain,low,20.0
13.18,morning,fog,medium,25.7
8.26,night,rain,medium,14.87
9.28,night,rain,medium,16.7
6.59,afternoon,fog,medium,12.85
1.77,evening,fog,medium,3.45
5.69,afternoon,clear,low,6.83
12.24,afternoon,clear,low,14.69
1.06,evening,rain,low,1.53
5.67,evening,rain,low,8.16
6.57,night,rain,high,17.74
8.52,night,fog,high,24.92
13.88,morning,fog,low,21.65
5.85,afternoon,clear,high,13.16
5.86,evening,rain,high,15.82
11.33,night,clear,medium,17.0
7.33,evening,fog,low,11.43
4.14,night,fog,high,12.11
7.33,morning,fog,high,21.44
2.97,morning,clear,low,3.56
3.47,evening,fog,medium,6.77
7.98,morning,rain,low,11.49
6.86,evening,clear,medium,10.29
13.81,night,fog,high,40.39
6.07,afternoon,clear,medium,9.1
9.13,morning,clear,medium,13.7
9.85,night,fog,low,15.37
